,type,title,director,cast,country,date_added,release_year,rating,duration,categories
0,Movie,The Grand Seduction,Don McKellar,"Brendan Gleeson, Taylor Kitsch, Gordon Pinsent",Canada,2021-03-30,2014,13+,113 min,"Comedy, Drama"
1,Movie,Take Care Good Night,Girish Joshi,"Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar",India,2021-03-30,2018,13+,110 min,"Drama, International"
2,Movie,Secrets of Deception,Josh Webber,"Tom Sizemore, Lorenzo Lamas, Robert LaSardo, Richard Jones, Yancey Arias, Noel Gugliemi",United States,2021-03-30,2017,13+,74 min,"Action, Drama, Suspense"
3,Movie,Pink: Staying True,Sonia Anderson,"Interviews with: Pink, Adele, Beyoncé, Britney Spears, Christina Aguilera, more!",United States,2021-03-30,2014,13+,69 min,Documentary
4,Movie,Monster Maker,Giles Foster,"Harry Dean Stanton, Kieran O'Brien, George Costigan, Amanda Dickinson, Alison Steadman, Grant Bardsley, Bill Moody, Matthew Scurfield",United Kingdom,2021-03-30,1989,13+,45 min,"Drama, Fantasy"
5,Movie,Living With Dinosaurs,Paul Weiland,"Gregory Chisholm, Juliet Stevenson, Brian Henson, Michael Maloney",United Kingdom,2021-03-30,1989,13+,52 min,"Fantasy, Kids"
6,Movie,Hired Gun,Fran Strine,"Alice Cooper, Liberty DeVitto, Ray Parker Jr., David Foster, Jason Hook, Steve Vai, Phil X, Rudy Sarzo, Jay Graydon, Rob Zombie, Kenny Aronoff, Steve Lukather, Justin Derrico, Eva Gardner, John 5, Eric Singer, Derek St. Holmes, Paul Bushnell, Jason Newsted, Glen Sobel, Nita Strauss, Chris Johnson",United States,2021-03-30,2017,13+,98 min,"Documentary, Special Interest"
7,Movie,Grease Live!,"Thomas Kail, Alex Rudzinski","Julianne Hough, Aaron Tveit, Vanessa Hudgens, Keke Palmer, Carly Rae Jepson, Mario Lopez, Carlos PenaVega, Kether Donohue, Jordan Fisher, David Del Rio, Andrew Call, Wendell Pierce, Boyz II Men, Jessie J, Ana Gasteyer, Didi Conn",United States,2021-03-30,2016,13+,131 min,Comedy
8,Movie,Global Meltdown,Daniel Gilboy,"Michael Paré, Leanne Khol Young, Patrick J. MacEachern",Canada,2021-03-30,2017,13+,87 min,"Action, Science Fiction, Suspense"
9,Movie,David's Mother,Robert Allan Ackerman,"Kirstie Alley, Sam Waterston, Stockard Channing",United States,2021-04-01,1994,13+,92 min,Drama
10,Movie,Forest Fairies,Justin G. Dyck,"Emily Wilder, Adrian Cowan, Gary Mckenzie, Jeremy Ninaber, Brenda Somers, Brian Carleton, Lora Burke, Winny Clarke, Mercedes Morris, Rebecca Perry, Emily Agard, Graham Gauthier",Canada,2021-04-04,2016,13+,88 min,"Adventure, Kids"
11,Movie,Take Care,Liz Tuccillo,"Leslie Bibb, Kevin Curtis, Nadia Dajani",United States,2021-04-10,2014,13+,93 min,Comedy
12,Movie,The Night Eats The World,Dominique Rocher,"Anders Danielsen Lie, Golshifteh Farahani, Denis Lavant, Sigrid Bouaziz, David Kammenos",France,2021-04-17,2018,13+,94 min,"Horror, Suspense"
13,Movie,Resilencia,Jep Barcelona,"Rafinha Alcantara, Marc-André Ter Stegen, Sergi Roberto, Dr. Ramón Cugat, Mazinho, Xavi Arruebo, Celia Ferreira Da Silva, Ángel Lapuebla, Javier Enríquez, Thiago Alcantara, Valeria Alcantara",Spain,2021-04-24,2020,13+,46 min,"Documentary, Sports"
14,Movie,Elon Musk: The Real Life Iron Man,Sonia Anderson,"Elon Musk, Per Wimmer, Julie Anderson-Ankenbrandt, Cary Cooper",United Kingdom,2021-05-02,2018,13+,74 min,Documentary
15,Movie,Summer '03,Becca Gleason,"Joey King, Jack Kilmer, Andrea Savage, Paul Scheer, June Squibb, Erin Darke, Stephen Ruffin, Kelly Lamor Wilson, Logan Medina, Travis James, Bill Eudaly, Elise DuQuette",United States,2021-06-03,2019,13+,96 min,"Comedy, Drama"
16,Movie,Zoombies,Glenn Miller,"Marcus Anderson, Kaiwi Lyman, Andrew Asper",Unavailable,2021-06-03,2016,13+,87 min,"Horror, Science Fiction"
17,TV Show,Zoo Babies,Unavailable,Narrator - Gillian Barlett,Unavailable,2021-06-03,2008,ALL,1 Season,"Kids, Special Interest"
18,TV Show,Zoë Coombs Marr: Bossy Bottom,Unavailable,Zoë Coombs Marr,Unavailable,2021-06-03,2020,18+,1 Season,"Comedy, Talk Show and Variety"
19,Movie,Zoe,Drake Doremus,"Ewan McGregor, Léa Seydoux, Theo James, Miranda Otto, Rashida Jones, Christina Aguilera, Matthew Gray Gubler, Anthony Shim",Unavailable,2021-06-03,2018,R,104 min,Science Fiction
20,TV Show,Zoboomafoo,Unavailable,Unavailable,Unavailable,2021-06-03,2001,TV-Y,1 Season,Kids
21,TV Show,Zo Zo Zombie: Mini-Series,Unavailable,"Alex Cazares, Ben Diskin, Cristina Vee, Erika Ishii",Unavailable,2021-06-03,2020,TV-Y7,1 Season,"Action, Anime, Comedy"
22,Movie,Zis Boom Bah,William Nigh,"Grace Hayes, Mary Healy",Unavailable,2021-06-03,1941,NR,62 min,"Arts, Entertainment, and Culture, Comedy, Drama"
23,TV Show,ZeroZeroZero,Unavailable,"ANDREA RISEBOROUGH, HAROLD TORRES, CLAUDIA PINEDA, TCHEKY KARYO, GIUSEPPE DE DOMENICO, GABRIEL BYRNE, DANE DEHAAN, ADRIANO CHIARAMIDA",Italy,2021-06-03,2020,18+,1 Season,TV Shows
24,Movie,Zandalee,Sam Pillsbury,"Nicolas Cage, Judge Reinhold, Erika Anderson, Joe Pantoliano, Viveca Lindfors, Aaron Neville, Steve Buscemi, Ian Abercrombie, Marisa Tomei, Jo-El Sonnier, Newell Alexander, Blaise Delacroix, Eliott Keener, Richard Greenberg, John Cutler, Thomas Iain",Unavailable,2021-06-03,1991,R,94 min,Drama
25,Movie,Zambezi: Force of Life,Dr. Rudolf Lammers,Unavailable,Unavailable,2021-06-03,2005,ALL,50 min,Documentary
